n_weeks_used,BottomKAcc,PairwiseOrderAcc,Top1Acc,MeanMargin,RuleReproRateWeek,AvgLogLik,Perplexity,avg_K,run_dir,checkpoint,monitor_name,monitor_value_recomputed,trial
260,0.9461538461538461,0.9918008393966234,0.9473684210526315,0.16466322432343777,0.9384615384615385,-0.5335762203312837,1.747880654317199,1.126923076923077,outputs/dwts_tune_cpu__tune/tune_cpu_trial_0097,best,train_BottomKAcc,0.9461538461538461,97
260,0.9423076923076923,0.990927823461019,0.9385964912280702,0.15091927965673116,0.9384615384615385,-0.5318365509263598,1.744544987358414,1.126923076923077,outputs/dwts_tune_cpu__tune/tune_cpu_trial_0128,best,train_BottomKAcc,0.9423076923076923,128
260,0.9423076923076923,0.9905157355161813,0.9385964912280702,0.1299334906041622,0.9384615384615385,-0.5321968053539212,1.743622994398923,1.126923076923077,outputs/dwts_tune_cpu__tune/tune_cpu_trial_0126,best,train_BottomKAcc,0.9423076923076923,126
260,0.9403846153846154,0.99089882511359,0.9429824561403509,0.18376729164559108,0.9307692307692308,-0.5313181645595111,1.745613909338905,1.126923076923077,outputs/dwts_tune_cpu__tune/tune_cpu_trial_0152,best,train_BottomKAcc,0.9403846153846154,152
260,0.9365384615384615,0.9891222683282999,0.9385964912280702,0.16393931722984864,0.926923076923077,-0.5322779486242395,1.7457493235806951,1.126923076923077,outputs/dwts_tune_cpu__tune/tune_cpu_trial_0136,best,train_BottomKAcc,0.9365384615384615,136
260,0.9326923076923077,0.9888292282819748,0.9298245614035088,0.11627674274719678,0.926923076923077,-0.5420229066091661,1.7626036312796507,1.126923076923077,outputs/dwts_tune_cpu__tune/tune_cpu_trial_0112,best,train_BottomKAcc,0.9326923076923077,112
260,0.9326923076923077,0.9894885689020156,0.9342105263157895,0.13187435722121826,0.9230769230769231,-0.540704530921693,1.7603119392981024,1.126923076923077,outputs/dwts_tune_cpu__tune/tune_cpu_trial_0122,best,train_BottomKAcc,0.9326923076923077,122
260,0.9326923076923077,0.9888780680986551,0.9342105263157895,0.1287225780292199,0.9230769230769231,-0.5421070320531726,1.7622583624026902,1.126923076923077,outputs/dwts_tune_cpu__tune/tune_cpu_trial_0166,best,train_BottomKAcc,0.9326923076923077,166
260,0.9326923076923077,0.9887208635990437,0.9298245614035088,0.15221451371908187,0.926923076923077,-0.5294300467778857,1.7396439060835693,1.126923076923077,outputs/dwts_tune_cpu__tune/tune_cpu_trial_0129,best,train_BottomKAcc,0.9326923076923077,129
260,0.9307692307692308,0.9895358821520439,0.9298245614035088,0.1389291476744872,0.9230769230769231,-0.5355463010975374,1.75053173476183,1.126923076923077,outputs/dwts_tune_cpu__tune/tune_cpu_trial_0077,best,train_BottomKAcc,0.9307692307692308,77
260,0.9307692307692308,0.9886123613669322,0.9298245614035088,0.20614724242343352,0.9230769230769231,-0.523753242345097,1.7317937977087048,1.126923076923077,outputs/dwts_tune_cpu__tune/tune_cpu_trial_0114,best,train_BottomKAcc,0.9307692307692308,114
260,0.9288461538461539,0.9889756094950896,0.9254385964912281,0.14623186711508493,0.9230769230769231,-0.5383059663698078,1.7577808175427851,1.126923076923077,outputs/dwts_tune_cpu__tune/tune_cpu_trial_0159,best,train_BottomKAcc,0.9288461538461539,159
260,0.9288461538461539,0.9879928423808171,0.9298245614035088,0.15856347121298314,0.9192307692307692,-0.5367884675900524,1.7544374432977334,1.126923076923077,outputs/dwts_tune_cpu__tune/tune_cpu_trial_0110,best,train_BottomKAcc,0.9288461538461539,110
260,0.9288461538461539,0.9871862184542876,0.9342105263157895,0.22904443107545375,0.9153846153846154,-0.5294475161470473,1.744200093533038,1.126923076923077,outputs/dwts_tune_cpu__tune/tune_cpu_trial_0156,best,train_BottomKAcc,0.9288461538461539,156
260,0.925,0.9898944125725673,0.9210526315789473,0.15659188519303616,0.9192307692307692,-0.5424950772251648,1.765112038304379,1.126923076923077,outputs/dwts_tune_cpu__tune/tune_cpu_trial_0123,best,train_BottomKAcc,0.925,123
260,0.9230769230769231,0.9863628055040653,0.9210526315789473,0.15812344528161562,0.9153846153846154,-0.5308719537220895,1.7424688126390795,1.126923076923077,outputs/dwts_tune_cpu__tune/tune_cpu_trial_0101,best,train_BottomKAcc,0.9230769230769231,101
260,0.9230769230769231,0.9869053881901961,0.9254385964912281,0.16639993984538776,0.9115384615384615,-0.5334057057312188,1.7480619915251552,1.126923076923077,outputs/dwts_tune_cpu__tune/tune_cpu_trial_0155,best,train_BottomKAcc,0.9230769230769231,155
260,0.9211538461538461,0.9869382030688799,0.9210526315789473,0.11985685415565968,0.9115384615384615,-0.5373686711948652,1.7536979862811122,1.126923076923077,outputs/dwts_tune_cpu__tune/tune_cpu_trial_0134,best,train_BottomKAcc,0.9211538461538461,134
260,0.9211538461538461,0.9870525325720126,0.9210526315789473,0.17002121224426306,0.9115384615384615,-0.5247614355542912,1.731096635879571,1.126923076923077,outputs/dwts_tune_cpu__tune/tune_cpu_trial_0127,best,train_BottomKAcc,0.9211538461538461,127
260,0.9211538461538461,0.9882568838504645,0.9210526315789473,0.2256996486335993,0.9115384615384615,-0.5194670878350734,1.7245093629628663,1.126923076923077,outputs/dwts_tune_cpu__tune/tune_cpu_trial_0139,best,train_BottomKAcc,0.9211538461538461,139
260,0.9192307692307692,0.9874203590246348,0.9210526315789473,0.18196771256625652,0.9076923076923077,-0.5386163122629604,1.7599411858018068,1.126923076923077,outputs/dwts_tune_cpu__tune/tune_cpu_trial_0150,best,train_BottomKAcc,0.9192307692307692,150
