season,week,team_id,alpha,P_fan,P_fan_mean,P_fan_std,P_fan_q025,P_fan_q975,S_total
1,1,John O'Hurley__Charlotte Jorgensen,0.001557698706164956,0.1597038209438324,0.15841098129749298,0.008807615377008915,0.14404486119747162,0.17763857543468475,-4.5306172370910645
1,1,Kelly Monaco__Alec Mazo,0.001557698706164956,0.18570411205291748,0.18410703539848328,0.01648181863129139,0.14943110942840576,0.20687159895896912,-9.053285598754883
1,1,Evander Holyfield__Edyta Sliwinska,0.001557698706164956,0.2198202908039093,0.22240115702152252,0.027504201978445053,0.15644411742687225,0.25199806690216064,-6.5423903465271
1,1,Rachel Hunter__Jonathan Roberts,0.001557698706164956,0.11500753462314606,0.1141224279999733,0.01665152609348297,0.0984375849366188,0.15448099374771118,-5.531444072723389
1,1,Joey McIntyre__Ashly DelGrosso,0.001557698706164956,0.21041415631771088,0.21100318431854248,0.025138791650533676,0.15445582568645477,0.24183416366577148,-3.671056032180786
1,1,Trista Sutter__Louis van Amstel,0.001557698706164956,0.10935013741254807,0.10995525121688843,0.01993226818740368,0.09298169612884521,0.156283438205719,-8.6712064743042
1,2,John O'Hurley__Charlotte Jorgensen,0.003385575022548437,0.1596183478832245,0.15860898792743683,0.008691344410181046,0.14446057379245758,0.1770010143518448,-4.535219669342041
1,2,Kelly Monaco__Alec Mazo,0.003385575022548437,0.1872832179069519,0.1872866302728653,0.016362177208065987,0.15025918185710907,0.21212640404701233,-8.028678894042969
1,2,Evander Holyfield__Edyta Sliwinska,0.003385575022548437,0.21681301295757294,0.21658127009868622,0.028658241033554077,0.15525294840335846,0.24772460758686066,-8.583453178405762
1,2,Rachel Hunter__Jonathan Roberts,0.003385575022548437,0.11525411158800125,0.116421639919281,0.0181906558573246,0.0987522080540657,0.15619787573814392,-6.529720783233643
1,2,Joey McIntyre__Ashly DelGrosso,0.003385575022548437,0.21103936433792114,0.2109050750732422,0.026115741580724716,0.15479032695293427,0.24149088561534882,-5.6632771492004395
1,2,Trista Sutter__Louis van Amstel,0.003385575022548437,0.10999186336994171,0.11019649356603622,0.01936161518096924,0.09367366880178452,0.15525294840335846,-8.659650802612305
1,3,John O'Hurley__Charlotte Jorgensen,0.005128100514411926,0.18393875658512115,0.1833525449037552,0.010901606641709805,0.1680087447166443,0.21031460165977478,-5.16253137588501
1,3,Kelly Monaco__Alec Mazo,0.005128100514411926,0.2151496261358261,0.21375584602355957,0.019470224156975746,0.17763526737689972,0.2558312714099884,-6.739509105682373
1,3,Evander Holyfield__Edyta Sliwinska,0.005128100514411926,0.21784569323062897,0.21541577577590942,0.020940763875842094,0.16975347697734833,0.25880613923072815,-7.706085205078125
1,3,Rachel Hunter__Jonathan Roberts,0.005128100514411926,0.12380437552928925,0.12550607323646545,0.02360815368592739,0.10891685634851456,0.18042224645614624,-5.139196395874023
1,3,Joey McIntyre__Ashly DelGrosso,0.005128100514411926,0.25926148891448975,0.26196980476379395,0.03413693979382515,0.18042224645614624,0.30266904830932617,-5.2526774406433105
1,4,John O'Hurley__Charlotte Jorgensen,0.0018446114845573902,0.23179225623607635,0.23002250492572784,0.027334345504641533,0.19044378399848938,0.30086228251457214,-5.515442848205566
