bootstrap_id,BottomKAcc,PairwiseOrderAcc,Top1Acc,RuleReproRateWeek
655,0.9423076923076923,0.9903280072487317,0.9375,0.9384615384615385
656,0.926923076923077,0.9878737947115531,0.9203539823008849,0.9230769230769231
657,0.9634615384615385,0.9923779006187733,0.961864406779661,0.9615384615384616
658,0.9634615384615385,0.9943206805449266,0.9605263157894737,0.9615384615384616
659,0.925,0.9862622114328238,0.9173913043478261,0.9230769230769231
660,0.926923076923077,0.9884627890128356,0.9260869565217391,0.9192307692307692
661,0.9442307692307692,0.9919200264490567,0.9422222222222222,0.9384615384615385
662,0.9173076923076923,0.9874875148901573,0.9078947368421053,0.9153846153846154
663,0.9461538461538461,0.9923591698591526,0.9439655172413793,0.9423076923076923
664,0.9230769230769231,0.9871930860556088,0.9147982062780269,0.9192307692307692
665,0.95,0.9920573883331739,0.9525862068965517,0.9423076923076923
666,0.9307692307692308,0.9894029594384707,0.9230769230769231,0.926923076923077
667,0.9461538461538461,0.9921396670433191,0.9396551724137931,0.9461538461538461
668,0.9538461538461539,0.9932935130137663,0.9466666666666667,0.9538461538461539
669,0.95,0.991645299929839,0.9473684210526315,0.9461538461538461
670,0.9673076923076923,0.9946474364170661,0.9644444444444444,0.9653846153846154
671,0.975,0.9947710626400434,0.9736842105263158,0.9730769230769231
672,0.9538461538461539,0.9935880798559923,0.9517543859649122,0.95
673,0.9192307692307692,0.98713633784881,0.9181034482758621,0.9115384615384615
674,0.9576923076923077,0.9933637206371014,0.9535864978902954,0.9576923076923077
675,0.9576923076923077,0.992695222221888,0.9525862068965517,0.9576923076923077
676,0.9442307692307692,0.9904441402508662,0.9437229437229437,0.9384615384615385
677,0.9557692307692308,0.9921260689313595,0.9559471365638766,0.95
678,0.9557692307692308,0.9943269239022181,0.9567099567099567,0.95
679,0.9461538461538461,0.9909751367110472,0.9439655172413793,0.9423076923076923
680,0.9423076923076923,0.9918725726696161,0.9347826086956522,0.9423076923076923
681,0.9403846153846154,0.990459264929478,0.940677966101695,0.9346153846153846
682,0.9134615384615384,0.987885866027612,0.9083333333333333,0.9115384615384615
683,0.9461538461538461,0.9927593256418522,0.9437229437229437,0.9423076923076923
684,0.9307692307692308,0.9884734722284171,0.9264069264069265,0.926923076923077
685,0.9596153846153846,0.9936703583368889,0.9572649572649573,0.9576923076923077
686,0.9596153846153846,0.9945736217957276,0.9563318777292577,0.9576923076923077
687,0.9519230769230769,0.9933666348457336,0.948051948051948,0.95
688,0.9384615384615385,0.990067017536897,0.9315068493150684,0.9346153846153846
689,0.9634615384615385,0.9944413932470175,0.9596412556053812,0.9615384615384616
690,0.9596153846153846,0.9936217959110554,0.9598214285714286,0.9538461538461539
691,0.9653846153846154,0.9947037687668434,0.9598214285714286,0.9653846153846154
692,0.9365384615384615,0.9896729671038114,0.9307359307359307,0.9346153846153846
693,0.9365384615384615,0.9903049739507529,0.9385964912280702,0.926923076923077
694,0.9365384615384615,0.9886842335645969,0.9324894514767933,0.9346153846153846
695,0.9346153846153846,0.9908666349374331,0.9282511210762332,0.9307692307692308
696,0.9346153846153846,0.9895263082706012,0.9276018099547512,0.9307692307692308
697,0.9442307692307692,0.9918249820287411,0.9422222222222222,0.9384615384615385
698,0.948076923076923,0.9928842005821374,0.9429824561403509,0.9461538461538461
699,0.95,0.991506411249821,0.9525862068965517,0.9423076923076923
700,0.9288461538461539,0.9876511005254892,0.9217391304347826,0.926923076923077
701,0.9442307692307692,0.9913658577662248,0.9404255319148936,0.9423076923076923
702,0.9403846153846154,0.9912680389789434,0.9344978165938864,0.9384615384615385
703,0.948076923076923,0.9930629106668326,0.948051948051948,0.9423076923076923
704,0.9557692307692308,0.9940169568245227,0.9545454545454546,0.95
705,0.948076923076923,0.9928722679615021,0.944206008583691,0.9461538461538461
706,0.9038461538461539,0.9858867539809301,0.8977777777777778,0.8961538461538462
707,0.95,0.9920726503317173,0.9487179487179487,0.9461538461538461
708,0.95,0.9926449952217249,0.9439655172413793,0.95
709,0.9673076923076923,0.9946260688396601,0.9695652173913043,0.9615384615384616
710,0.9384615384615385,0.9898487634383715,0.9336283185840708,0.9346153846153846
711,0.9211538461538461,0.9879836845856447,0.9130434782608695,0.9192307692307692
712,0.9153846153846154,0.9855570839001582,0.9078341013824884,0.9076923076923077
713,0.948076923076923,0.9907432856468054,0.9414414414414415,0.9461538461538461
714,0.9192307692307692,0.9876798226283147,0.9094827586206896,0.9192307692307692
715,0.9307692307692308,0.9883028099170098,0.9273504273504274,0.926923076923077
716,0.9211538461538461,0.988710042146536,0.9118942731277533,0.9192307692307692
717,0.9442307692307692,0.9927059068129613,0.9432314410480349,0.9384615384615385
718,0.9711538461538461,0.995711233982673,0.9733333333333334,0.9653846153846154
719,0.9615384615384616,0.994627318244714,0.9545454545454546,0.9615384615384616
720,0.9423076923076923,0.9925058289216115,0.9429824561403509,0.9346153846153846
721,0.9576923076923077,0.994967533991887,0.9578059071729957,0.9538461538461539
722,0.9384615384615385,0.9901175223864042,0.9366515837104072,0.9307692307692308
723,0.9307692307692308,0.9899536591309768,0.92,0.9307692307692308
724,0.9346153846153846,0.9897875749147855,0.9295154185022027,0.9307692307692308
725,0.948076923076923,0.991248335975867,0.9424778761061947,0.9461538461538461
726,0.9461538461538461,0.9917397891099636,0.9409090909090909,0.9423076923076923
727,0.948076923076923,0.9917123159536949,0.9398148148148148,0.9461538461538461
728,0.9634615384615385,0.9933012824792128,0.9625,0.9615384615384616
729,0.9538461538461539,0.9922710636487374,0.9459459459459459,0.9538461538461539
730,0.9653846153846154,0.9942336836686501,0.961038961038961,0.9653846153846154
731,0.9326923076923077,0.9900944902346684,0.9282511210762332,0.926923076923077
732,0.9576923076923077,0.9927272737026215,0.9519650655021834,0.9576923076923077
733,0.948076923076923,0.9914452222677378,0.9439655172413793,0.9461538461538461
734,0.9461538461538461,0.9921198258033166,0.9439655172413793,0.9423076923076923
735,0.948076923076923,0.9930218405448473,0.946058091286307,0.9461538461538461
736,0.948076923076923,0.9932857433190713,0.9484978540772532,0.9423076923076923
737,0.9615384615384616,0.9924494954255911,0.9601769911504425,0.9576923076923077
738,0.95,0.9944289053861911,0.9506726457399103,0.9423076923076923
739,0.9538461538461539,0.9936643928289414,0.9493670886075949,0.9538461538461539
740,0.9288461538461539,0.9878586704914386,0.9210526315789473,0.926923076923077
